Results from heasarc_actszclust: Atacama Cosmology Telescope DR5 Sunyaev-Zeldovich Cluster Catalog
Coordinate system: Equatorial
|name               |ra         |dec        |snr     |y_c       |y_c_error |redshift|redshift_error|mass_500c|mass_500c_pos_err|mass_500c_neg_err|mass_200m|mass_200m_pos_err|mass_200m_neg_err|
|ACT-CL J0336.4-4703|03 36 27.19|-47 03 39.7| 5.87371|1.0746e-04|1.8294e-05|0.857934|      0.013502|  2.32577|          0.45213|          0.37854|  3.95996|          0.76981|          0.64452|
|ACT-CL J0630.5-4702|06 30 32.66|-47 02 50.4| 4.54125|2.0613e-04|4.5391e-05|0.468800|      0.020563|  2.53830|          0.61046|          0.49211|  4.47785|          1.07692|          0.86813|
|ACT-CL J0110.0-4700|01 10 02.01|-47 01 00.0| 4.28641|6.8006e-05|1.5866e-05|0.960585|      0.024490|  1.85688|          0.41351|          0.33820|  3.14452|          0.70026|          0.57272|
|ACT-CL J0334.2-4659|03 34 12.84|-46 59 43.4| 9.10020|7.7139e-05|8.4767e-06|0.485300|      0.000000|  3.33855|          0.62165|          0.52407|  5.90988|          1.10044|          0.92770|
|ACT-CL J0108.5-4659|01 08 32.72|-46 59 42.1| 6.76812|8.1817e-05|1.2089e-05|1.325600|      0.032558|  2.25481|          0.39420|          0.33554|  3.88551|          0.67928|          0.57820|
|ACT-CL J2115.2-4658|21 15 17.27|-46 58 26.7| 5.06535|1.0191e-04|2.0118e-05|0.298800|      0.000000|  2.97386|          0.72793|          0.58479|  5.47435|          1.33999|          1.07649|
|ACT-CL J0353.8-4658|03 53 49.21|-46 58 23.0| 4.99751|3.8739e-05|7.7516e-06|0.390000|      0.020000|  1.90873|          0.46885|          0.37639|  3.39781|          0.83462|          0.67003|
|ACT-CL J0440.9-4658|04 40 54.06|-46 58 04.7| 7.04346|7.7411e-05|1.0991e-05|0.315875|      0.006893|  3.21669|          0.69203|          0.56951|  5.90386|          1.27014|          1.04527|
|ACT-CL J2352.2-4657|23 52 15.80|-46 57 21.9|12.13814|1.4350e-04|1.1822e-05|0.919266|      0.017576|  3.31336|          0.53131|          0.45789|  5.68051|          0.91089|          0.78501|
|ACT-CL J0212.4-4656|02 12 25.57|-46 56 56.0|12.52923|1.4333e-04|1.1440e-05|0.653500|      0.000000|  4.17295|          0.70260|          0.60135|  7.27171|          1.22434|          1.04791|
|ACT-CL J0255.9-4655|02 55 56.04|-46 55 45.1| 4.43671|3.8853e-05|8.7571e-06|0.393407|      0.011527|  1.88004|          0.46503|          0.37281|  3.34311|          0.82692|          0.66294|
|ACT-CL J2302.7-3432|23 02 44.00|-34 32 55.5| 5.20130|4.8384e-05|9.3023e-06|0.377000|      0.000000|  2.18301|          0.50458|          0.40985|  3.90920|          0.90357|          0.73393|
|ACT-CL J2342.5-4652|23 42 35.50|-46 52 28.6| 5.58891|3.8070e-05|6.8118e-06|0.279486|      0.005595|  1.85688|          0.45293|          0.36412|  3.39951|          0.82921|          0.66661|
|ACT-CL J2344.1-4651|23 44 10.93|-46 51 52.6| 5.01705|3.5313e-05|7.0387e-06|0.537114|      0.008325|  1.90217|          0.42841|          0.34966|  3.29977|          0.74317|          0.60656|
|ACT-CL J0027.4-4650|00 27 25.91|-46 50 03.0| 7.11397|5.0848e-05|7.1476e-06|0.342725|      0.007895|  2.34023|          0.49175|          0.40636|  4.23238|          0.88934|          0.73492|
|ACT-CL J2240.8-4648|22 40 52.20|-46 48 56.0| 4.94819|1.0833e-04|2.1892e-05|0.672800|      0.023419|  1.99335|          0.43218|          0.35518|  3.41243|          0.73986|          0.60803|
|ACT-CL J0405.1-4648|04 05 08.08|-46 48 39.6| 6.00595|7.1844e-05|1.1962e-05|0.378875|      0.009600|  2.91105|          0.63603|          0.52199|  5.24546|          1.14607|          0.94057|
|ACT-CL J0252.5-4648|02 52 35.00|-46 48 30.0| 4.04522|3.0996e-05|7.6623e-06|0.383335|      0.010074|  1.56432|          0.44280|          0.34511|  2.77662|          0.78596|          0.61257|
|ACT-CL J0310.5-4647|03 10 32.70|-46 47 02.2| 9.24144|1.3030e-04|1.4099e-05|0.706700|      0.000000|  3.33855|          0.58096|          0.49485|  5.76513|          1.00322|          0.85452|
|ACT-CL J2020.7-4646|20 20 47.01|-46 46 30.0| 4.15574|5.6220e-05|1.3528e-05|0.190000|      0.015470|  2.25947|          0.67371|          0.51897|  4.28661|          1.27815|          0.98458|
|ACT-CL J0110.4-4645|01 10 26.39|-46 45 59.5| 4.75938|4.1689e-05|8.7592e-06|0.617209|      0.010422|  2.10044|          0.47306|          0.38610|  3.61741|          0.81471|          0.66495|
|ACT-CL J0012.0-4644|00 12 04.99|-46 44 30.0| 4.59770|1.1248e-04|2.4464e-05|0.747968|      0.015612|  1.72262|          0.38361|          0.31374|  2.92598|          0.65159|          0.53291|
|ACT-CL J2214.8-4642|22 14 52.44|-46 42 10.7| 6.45635|6.6882e-05|1.0359e-05|1.160000|      0.097200|  2.86532|          0.53822|          0.45311|  4.92061|          0.92428|          0.77812|
|ACT-CL J0621.4-4640|06 21 29.01|-46 40 30.0| 4.36830|1.5111e-04|3.4592e-05|0.457091|      0.008842|  2.39236|          0.59175|          0.47441|  4.22350|          1.04469|          0.83752|
|ACT-CL J0214.8-4639|02 14 48.96|-46 39 26.9| 7.10632|5.4692e-05|7.6963e-06|0.312750|      0.006555|  2.46256|          0.54425|          0.44573|  4.49470|          0.99337|          0.81356|
|ACT-CL J0038.3-4637|00 38 24.00|-46 37 52.7| 4.65407|1.1562e-04|2.4843e-05|0.703450|      0.020093|  1.73333|          0.39184|          0.31959|  2.95222|          0.66739|          0.54433|
|ACT-CL J0122.2-4636|01 22 14.85|-46 36 40.4| 6.20116|7.3660e-05|1.1878e-05|0.999200|      0.027989|  2.33058|          0.43396|          0.36584|  3.96682|          0.73864|          0.62269|
|ACT-CL J0255.9-4635|02 55 57.33|-46 35 40.0| 4.09303|2.9045e-05|7.0963e-06|0.312533|      0.006815|  1.52707|          0.43091|          0.33608|  2.75690|          0.77795|          0.60674|
|ACT-CL J0326.9-4633|03 26 57.02|-46 33 30.0| 4.27944|1.2575e-04|2.9386e-05|0.800431|      0.019005|  1.60800|          0.40327|          0.32241|  2.72132|          0.68248|          0.54564|
|ACT-CL J2146.5-4633|21 46 32.10|-46 33 06.1| 9.55234|2.0872e-04|2.1851e-05|0.933000|      0.000000|  4.34596|          0.72824|          0.62372|  7.49581|          1.25605|          1.07578|
|ACT-CL J0022.4-4631|00 22 27.39|-46 31 59.1| 7.64442|8.7486e-05|1.1444e-05|0.872647|      0.013718|  2.43222|          0.43112|          0.36621|  4.14406|          0.73455|          0.62395|
|ACT-CL J2333.7-4631|23 33 43.52|-46 31 22.2| 5.12585|8.2197e-05|1.6036e-05|0.387916|      0.010297|  1.93920|          0.44494|          0.36190|  3.45485|          0.79270|          0.64476|
|ACT-CL J0020.5-4630|00 20 35.43|-46 30 46.9| 7.82803|9.0226e-05|1.1526e-05|0.836074|      0.013364|  2.51049|          0.44296|          0.37652|  4.28351|          0.75580|          0.64244|
|ACT-CL J0616.3-4630|06 16 23.76|-46 30 01.3| 5.02681|5.1435e-05|1.0232e-05|0.519765|      0.006562|  2.37268|          0.58281|          0.46788|  4.14576|          1.01834|          0.81753|
|ACT-CL J0216.4-4627|02 16 25.00|-46 27 15.2| 4.20776|3.1746e-05|7.5446e-06|0.663893|      0.013490|  1.68160|          0.42318|          0.33810|  2.87062|          0.72240|          0.57716|
|ACT-CL J2332.6-4625|23 32 36.99|-46 26 00.0| 4.08725|2.7606e-05|6.7542e-06|0.379245|      0.010480|  1.39152|          0.39635|          0.30849|  2.46591|          0.70237|          0.54667|
|ACT-CL J2312.2-4621|23 12 13.60|-46 21 11.8| 6.04225|5.3400e-05|8.8378e-06|0.615494|      0.009802|  2.44734|          0.49191|          0.40958|  4.22941|          0.85010|          0.70783|
|ACT-CL J2254.3-4620|22 54 20.99|-46 20 44.3|10.56535|8.4752e-05|8.0217e-06|0.270096|      0.005073|  3.48895|          0.69839|          0.58191|  6.50477|          1.30206|          1.08490|
|ACT-CL J0350.8-4620|03 50 51.44|-46 20 05.0| 8.46575|1.1891e-04|1.4046e-05|0.800874|      0.009599|  3.07802|          0.53562|          0.45623|  5.28065|          0.91892|          0.78271|
|ACT-CL J2340.2-4620|23 40 16.99|-46 20 04.6| 7.11076|1.0865e-04|1.5279e-05|0.738404|      0.015661|  2.44903|          0.45202|          0.38159|  4.19264|          0.77384|          0.65327|
|ACT-CL J0239.5-4618|02 39 34.36|-46 18 16.1| 4.87173|4.5063e-05|9.2499e-06|0.669159|      0.015719|  2.04902|          0.44769|          0.36741|  3.51075|          0.76706|          0.62952|
|ACT-CL J0342.7-4618|03 42 45.99|-46 18 14.9| 4.37293|8.1913e-05|1.8732e-05|0.985334|      0.026886|  1.79775|          0.39732|          0.32540|  3.04290|          0.67251|          0.55078|
|ACT-CL J0112.3-4617|01 12 23.67|-46 17 13.8| 5.50646|4.7972e-05|8.7119e-06|0.821488|      0.011505|  2.22857|          0.44609|          0.37169|  3.79444|          0.75953|          0.63285|
|ACT-CL J0011.9-4614|00 11 54.09|-46 14 28.3| 6.89245|5.4265e-05|7.8731e-06|0.559764|      0.007235|  2.29554|          0.44437|          0.37230|  3.98652|          0.77170|          0.64654|
|ACT-CL J2338.7-4612|23 38 46.43|-46 12 38.5| 5.60898|1.3796e-04|2.4596e-05|1.091000|      0.029274|  1.75736|          0.34887|          0.29108|  2.97939|          0.59147|          0.49350|
|ACT-CL J0414.2-4612|04 14 13.00|-46 12 00.1| 4.85326|6.4266e-05|1.3242e-05|0.189351|      0.004365|  2.34023|          0.64389|          0.50495|  4.44487|          1.22296|          0.95908|
|ACT-CL J0522.8-4611|05 22 52.99|-46 11 41.9| 5.01158|1.0922e-04|2.1794e-05|0.388498|      0.010245|  2.72861|          0.64459|          0.52142|  4.89857|          1.15722|          0.93608|
|ACT-CL J0402.2-4611|04 02 17.73|-46 11 17.3| 5.59668|5.8949e-05|1.0533e-05|0.360597|      0.009379|  2.67099|          0.61058|          0.49698|  4.82400|          1.10276|          0.89757|
|ACT-CL J2054.9-4609|20 54 55.00|-46 09 30.0| 4.06783|4.3616e-05|1.0722e-05|0.945952|      0.021958|  2.16952|          0.52919|          0.42542|  3.68570|          0.89902|          0.72273|
|ACT-CL J0422.9-4608|04 22 59.02|-46 08 39.1| 5.80022|9.0600e-05|1.5620e-05|0.636528|      0.011910|  2.93117|          0.59644|          0.49559|  5.07520|          1.03270|          0.85810|
|ACT-CL J2359.5-4608|23 59 33.54|-46 08 37.1| 4.62351|1.1267e-04|2.4369e-05|1.223600|      0.031130|  1.46124|          0.31804|          0.26119|  2.48093|          0.53997|          0.44346|
|ACT-CL J0322.6-4608|03 22 40.00|-46 08 14.9| 4.34594|4.9746e-05|1.1447e-05|0.701735|      0.021069|  1.88004|          0.43136|          0.35086|  3.20783|          0.73602|          0.59866|
|ACT-CL J0240.2-4607|02 40 12.01|-46 07 15.1| 4.32353|3.3043e-05|7.6427e-06|0.661641|      0.013185|  1.68624|          0.42289|          0.33810|  2.87922|          0.72208|          0.57730|
|ACT-CL J0446.8-4605|04 46 51.34|-46 05 50.2| 4.20061|8.3124e-05|1.9789e-05|1.520000|      0.130000|  1.79034|          0.39568|          0.32406|  3.11276|          0.68795|          0.56342|
|ACT-CL J0102.6-4603|01 02 40.93|-46 03 48.2| 6.96779|6.8230e-05|9.7922e-06|0.840500|      0.000000|  2.72673|          0.49883|          0.42169|  4.66019|          0.85254|          0.72070|
|ACT-CL J0439.2-4600|04 39 13.91|-46 00 59.4| 8.07970|9.3662e-05|1.1592e-05|0.320520|      0.007023|  3.76088|          0.77775|          0.64447|  6.92030|          1.43111|          1.18588|
|ACT-CL J2127.1-4558|21 27 11.97|-45 58 59.3| 4.86721|7.3361e-05|1.5072e-05|0.731817|      0.015003|  2.77026|          0.60063|          0.49361|  4.75691|          1.03136|          0.84759|
|ACT-CL J2241.7-4558|22 41 44.02|-45 58 06.6|10.20963|2.8958e-04|2.8363e-05|1.030000|      0.091350|  3.10784|          0.51827|          0.44420|  5.32532|          0.88807|          0.76114|
|ACT-CL J0259.6-4555|02 59 36.03|-45 55 45.9| 5.35561|3.9090e-05|7.2990e-06|0.434140|      0.010028|  2.04902|          0.46321|          0.37780|  3.62030|          0.81842|          0.66751|
|ACT-CL J2236.8-4555|22 36 52.82|-45 55 44.7| 9.57518|1.2491e-04|1.3045e-05|1.170000|      0.097650|  2.80288|          0.46292|          0.39730|  4.81308|          0.79492|          0.68224|
|ACT-CL J2241.2-4555|22 41 12.67|-45 55 22.1| 5.96366|1.6949e-04|2.8420e-05|0.397400|      0.019564|  2.15464|          0.47982|          0.39243|  3.83979|          0.85509|          0.69935|
|ACT-CL J0437.3-4554|04 37 19.99|-45 54 30.0| 4.34884|1.0936e-04|2.5146e-05|0.146015|      0.005563|  2.05467|          0.63848|          0.48711|  3.96021|          1.23062|          0.93887|
|ACT-CL J0418.7-4552|04 18 42.02|-45 52 30.3| 5.76529|1.8346e-04|3.1821e-05|0.684738|      0.016168|  2.90105|          0.59031|          0.49050|  5.00186|          1.01778|          0.84570|
|ACT-CL J2057.5-4552|20 57 33.01|-45 52 15.0| 4.22529|4.6973e-05|1.1117e-05|0.766385|      0.020168|  2.14133|          0.56297|          0.44577|  3.65035|          0.95970|          0.75991|
|ACT-CL J0052.7-4551|00 52 46.81|-45 51 38.7| 6.48922|1.1902e-04|1.8341e-05|0.358200|      0.024380|  2.52089|          0.53812|          0.44346|  4.54942|          0.97114|          0.80031|
|ACT-CL J0034.4-4551|00 34 29.31|-45 51 33.3| 5.25741|5.0667e-05|9.6372e-06|0.519800|      0.021277|  1.93254|          0.42062|          0.34543|  3.36169|          0.73167|          0.60089|
|ACT-CL J1920.9-4550|19 20 59.11|-45 50 52.2| 9.04619|1.5606e-04|1.7252e-05|0.798000|      0.000000|  4.82546|          0.83581|          0.71241|  8.36311|          1.44856|          1.23470|
|ACT-CL J0500.8-4549|05 00 51.16|-45 49 55.6| 4.65950|7.1396e-05|1.5323e-05|0.242428|      0.005340|  2.26415|          0.59920|          0.47381|  4.21446|          1.11534|          0.88194|
|ACT-CL J2100.4-4548|21 00 25.42|-45 48 42.0| 5.99841|1.8093e-04|3.0163e-05|0.712100|      0.000000|  3.40588|          0.67613|          0.56414|  5.88193|          1.16767|          0.97426|
|ACT-CL J0048.9-4547|00 48 59.62|-45 47 59.9| 9.24854|1.5782e-04|1.7064e-05|0.481983|      0.007337|  3.29062|          0.61542|          0.51845|  5.82631|          1.08964|          0.91796|
|ACT-CL J0339.4-4545|03 39 27.37|-45 45 09.5| 5.28811|1.6531e-04|3.1260e-05|0.902072|      0.016435|  2.07171|          0.43360|          0.35856|  3.51667|          0.73602|          0.60864|
|ACT-CL J0246.5-4544|02 46 32.00|-45 44 52.6| 4.24916|3.0674e-05|7.2188e-06|0.611477|      0.009647|  1.69789|          0.42435|          0.33950|  2.91278|          0.72799|          0.58243|
|ACT-CL J2335.1-4544|23 35 07.79|-45 44 18.3|15.24164|1.0129e-04|6.6454e-06|0.547300|      0.000000|  4.26004|          0.72756|          0.62143|  7.51392|          1.28328|          1.09608|
|ACT-CL J2105.3-4543|21 05 22.68|-45 43 39.6| 4.46630|1.7622e-04|3.9455e-05|0.599639|      0.009255|  2.67835|          0.64185|          0.51777|  4.64539|          1.11325|          0.89804|
|ACT-CL J2110.1-4541|21 10 11.14|-45 41 19.7| 4.72210|9.3206e-05|1.9738e-05|0.956663|      0.028055|  2.70616|          0.57315|          0.47298|  4.61913|          0.97831|          0.80732|
|ACT-CL J0144.8-4536|01 44 52.85|-45 36 04.2| 4.36834|3.3994e-05|7.7820e-06|0.485155|      0.009236|  1.86842|          0.45415|          0.36534|  3.26504|          0.79361|          0.63843|
|ACT-CL J2220.3-4534|22 20 20.72|-45 34 26.8| 5.04157|5.6252e-05|1.1158e-05|0.623922|      0.010052|  2.53307|          0.60056|          0.48546|  4.37717|          1.03777|          0.83888|
|ACT-CL J0304.8-4533|03 04 49.04|-45 33 06.4| 4.50237|3.2521e-05|7.2230e-06|0.730571|      0.016467|  1.71434|          0.41523|          0.33427|  2.91436|          0.70588|          0.56825|
|ACT-CL J0213.9-4531|02 13 54.47|-45 31 25.3| 5.49686|1.0431e-04|1.8977e-05|0.437872|      0.009646|  2.30029|          0.50452|          0.41377|  4.07182|          0.89307|          0.73242|
|ACT-CL J0159.3-4530|01 59 22.59|-45 30 17.2| 4.60938|5.3100e-05|1.1520e-05|0.608309|      0.010678|  1.98650|          0.44907|          0.36627|  3.42022|          0.77319|          0.63062|
|ACT-CL J0617.6-4529|06 17 39.63|-45 29 48.5| 4.55023|2.0286e-04|4.4583e-05|0.384080|      0.011133|  2.47786|          0.61716|          0.49410|  4.44292|          1.10660|          0.88594|
|ACT-CL J0046.2-4527|00 46 17.00|-45 27 30.0| 4.08913|6.7632e-05|1.6539e-05|1.131800|      0.029845|  1.50619|          0.34177|          0.27856|  2.54888|          0.57836|          0.47140|
|ACT-CL J0314.4-4524|03 14 24.69|-45 24 59.8| 5.19901|3.7747e-05|7.2605e-06|0.072200|      0.000000|  1.97287|          0.69628|          0.51465|  3.93683|          1.38941|          1.02697|
|ACT-CL J2034.3-4523|20 34 21.75|-45 23 50.3| 4.94884|5.8184e-05|1.1757e-05|0.900291|      0.016262|  2.62902|          0.56780|          0.46695|  4.48526|          0.96870|          0.79665|
|ACT-CL J0224.3-4522|02 24 23.70|-45 22 25.5| 5.13494|1.5404e-04|2.9998e-05|0.430270|      0.010625|  2.08890|          0.47929|          0.38984|  3.69511|          0.84782|          0.68960|
|ACT-CL J0357.4-4521|03 57 27.79|-45 21 07.5| 5.35853|7.6914e-05|1.4353e-05|0.897398|      0.018532|  2.11059|          0.42073|          0.35080|  3.58420|          0.71449|          0.59573|
|ACT-CL J0303.6-4519|03 03 38.43|-45 19 41.8| 4.92953|1.4477e-04|2.9367e-05|0.517028|      0.007953|  1.84922|          0.44158|          0.35646|  3.21502|          0.76772|          0.61973|
|ACT-CL J0510.3-4519|05 10 18.40|-45 19 25.4| 9.05684|9.4326e-05|1.0415e-05|0.200000|      0.000000|  3.96839|          0.90046|          0.73392|  7.60937|          1.72662|          1.40730|
|ACT-CL J2218.9-4519|22 18 58.37|-45 19 02.4| 8.02005|1.1435e-04|1.4257e-05|0.636500|      0.000000|  4.13292|          0.76619|          0.64636|  7.21140|          1.33691|          1.12782|
|ACT-CL J0148.3-4518|01 48 18.02|-45 19 00.0| 4.42612|1.3594e-04|3.0713e-05|0.612678|      0.009329|  1.82268|          0.44928|          0.36043|  3.13110|          0.77179|          0.61917|
|ACT-CL J0018.4-4518|00 18 27.01|-45 18 30.0| 4.19546|3.5451e-05|8.4498e-06|0.554698|      0.009584|  1.64043|          0.39733|          0.31985|  2.83035|          0.68553|          0.55187|
|ACT-CL J0126.6-4517|01 26 42.00|-45 17 45.0| 4.04177|2.9767e-05|7.3648e-06|0.664094|      0.017221|  1.34907|          0.40225|          0.30986|  2.29265|          0.68361|          0.52659|
|ACT-CL J0236.6-4516|02 36 36.68|-45 16 58.6| 5.50102|8.0705e-05|1.4671e-05|0.724723|      0.016211|  2.28765|          0.46549|          0.38679|  3.91375|          0.79637|          0.66172|
|ACT-CL J2300.2-4515|23 00 16.41|-45 15 12.4| 4.79974|1.3945e-04|2.9053e-05|0.773848|      0.014190|  1.84414|          0.41689|          0.34002|  3.13294|          0.70824|          0.57766|
|ACT-CL J0348.2-4514|03 48 17.04|-45 14 49.5| 9.77696|9.5637e-05|9.7818e-06|0.359200|      0.000000|  3.51306|          0.67428|          0.56570|  6.38856|          1.22619|          1.02874|
|ACT-CL J0051.5-4514|00 51 32.00|-45 14 44.7| 4.32625|1.2227e-04|2.8263e-05|0.595898|      0.011077|  1.77072|          0.43192|          0.34722|  3.04533|          0.74282|          0.59716|
|ACT-CL J0153.5-4512|01 53 36.00|-45 12 15.0| 4.06948|3.2016e-05|7.8675e-06|0.651812|      0.012840|  1.59697|          0.43099|          0.33940|  2.72597|          0.73569|          0.57934|
|ACT-CL J0150.6-4511|01 50 36.25|-45 11 12.7| 8.11144|6.3493e-05|7.8276e-06|0.289124|      0.005740|  2.62721|          0.57843|          0.47406|  4.83551|          1.06462|          0.87252|
|ACT-CL J0047.2-4507|00 47 16.87|-45 07 00.2| 7.83516|6.1616e-05|7.8640e-06|0.450822|      0.008653|  2.84174|          0.55945|          0.46743|  5.04213|          0.99264|          0.82937|
|ACT-CL J2111.8-4505|21 11 53.97|-45 05 45.5| 5.07994|2.6629e-04|5.2420e-05|0.580368|      0.007460|  3.01717|          0.67190|          0.54952|  5.25820|          1.17095|          0.95769|
|ACT-CL J0247.4-4503|02 47 28.67|-45 03 33.4| 5.15674|7.6078e-05|1.4753e-05|0.516301|      0.007452|  2.16356|          0.47453|          0.38917|  3.77465|          0.82789|          0.67897|
|ACT-CL J2330.2-4502|23 30 16.24|-45 02 12.3| 8.21694|6.0500e-05|7.3629e-06|0.314789|      0.006690|  2.76454|          0.57171|          0.47374|  5.05696|          1.04578|          0.86657|
|ACT-CL J0508.9-4500|05 08 59.50|-45 00 52.7| 4.23828|4.4251e-05|1.0441e-05|0.536658|      0.007045|  2.31459|          0.56854|          0.45643|  4.03248|          0.99051|          0.79519|
|ACT-CL J2300.4-4500|23 00 24.00|-45 00 45.2| 4.26565|1.3238e-04|3.1034e-05|0.599322|      0.008756|  1.91532|          0.45736|          0.36920|  3.29822|          0.78759|          0.63577|
|ACT-CL J0417.9-4500|04 17 59.01|-45 00 15.8| 5.47598|1.3433e-04|2.4531e-05|0.625934|      0.009865|  2.76645|          0.58131|          0.48037|  4.78871|          1.00624|          0.83152|
|ACT-CL J2316.7-4500|23 16 45.96|-45 00 10.5| 5.88982|5.4724e-05|9.2913e-06|0.704813|      0.015893|  2.36289|          0.47103|          0.39274|  4.05031|          0.80741|          0.67321|
|ACT-CL J2124.1-4500|21 24 11.69|-45 00 04.8| 4.61298|1.1305e-04|2.4506e-05|0.271761|      0.007320|  2.63990|          0.68717|          0.54524|  4.88535|          1.27166|          1.00901|
|ACT-CL J2217.4-4456|22 17 28.53|-44 56 52.6| 4.40262|1.2587e-04|2.8590e-05|0.560110|      0.007867|  2.62360|          0.62202|          0.50281|  4.56935|          1.08333|          0.87571|
|ACT-CL J0408.3-4456|04 08 23.84|-44 56 21.5| 5.74917|1.8770e-04|3.2648e-05|0.746325|      0.021881|  2.86335|          0.58501|          0.48576|  4.91637|          1.00446|          0.83405|
|ACT-CL J2237.9-4453|22 37 54.66|-44 53 39.9| 4.39468|7.4619e-05|1.6979e-05|0.429470|      0.010712|  1.77805|          0.43218|          0.34767|  3.13461|          0.76191|          0.61293|
|ACT-CL J2040.9-4452|20 40 59.60|-44 52 18.0| 4.29580|1.0760e-04|2.5048e-05|1.478000|      0.000000|  2.11059|          0.44525|          0.36769|  3.67069|          0.77437|          0.63947|
|ACT-CL J0611.9-4451|06 11 59.00|-44 52 00.0| 4.13643|1.4493e-04|3.5038e-05|0.103393|      0.006228|  2.10478|          0.75069|          0.55334|  4.14059|          1.47677|          1.08854|
|ACT-CL J0143.5-4451|01 43 30.03|-44 51 20.1| 5.43082|4.7482e-05|8.7430e-06|0.496888|      0.006651|  2.28136|          0.49845|          0.40907|  3.99652|          0.87320|          0.71662|
|ACT-CL J0236.6-4450|02 36 37.00|-44 51 00.0| 4.29002|3.6530e-05|8.5151e-06|0.209667|      0.004468|  1.62470|          0.46997|          0.36452|  3.03493|          0.87790|          0.68093|
|ACT-CL J0048.7-4450|00 48 43.38|-44 50 40.6| 6.78866|1.8551e-04|2.7327e-05|0.595467|      0.008600|  2.49842|          0.49392|          0.41239|  4.32870|          0.85576|          0.71450|
|ACT-CL J0028.9-4449|00 28 57.01|-44 50 00.0| 4.11097|4.0094e-05|9.7528e-06|0.938000|      0.027132|  1.51242|          0.34574|          0.28141|  2.55041|          0.58302|          0.47454|
|ACT-CL J0521.3-4449|05 21 22.99|-44 49 52.2| 5.81833|1.1618e-04|1.9968e-05|1.101200|      0.029417|  2.61278|          0.49506|          0.41620|  4.46830|          0.84663|          0.71177|
|ACT-CL J0514.5-4448|05 14 35.04|-44 48 45.0| 5.20747|2.1649e-04|4.1572e-05|0.127545|      0.005705|  2.48470|          0.74531|          0.57333|  4.85310|          1.45574|          1.11983|
|ACT-CL J0100.9-4448|01 00 57.66|-44 48 31.0| 5.70412|1.7227e-04|3.0201e-05|0.377724|      0.010734|  2.27665|          0.50699|          0.41465|  4.08011|          0.90860|          0.74312|
|ACT-CL J0607.6-4448|06 07 37.05|-44 48 23.4| 5.80602|2.5454e-04|4.3841e-05|1.401000|      0.000000|  2.40558|          0.44793|          0.37761|  4.17206|          0.77685|          0.65491|
|ACT-CL J0221.6-4446|02 21 40.03|-44 46 45.4| 4.89398|1.4695e-04|3.0027e-05|0.506434|      0.007171|  2.04479|          0.47090|          0.38275|  3.56830|          0.82175|          0.66793|
|ACT-CL J0626.8-4445|06 26 51.29|-44 45 59.1| 5.76913|6.3767e-05|1.1053e-05|0.419287|      0.010647|  3.11212|          0.69566|          0.56857|  5.56743|          1.24451|          1.01714|
|ACT-CL J2108.7-4445|21 08 46.01|-44 45 52.8| 4.49381|1.8427e-04|4.1005e-05|0.802600|      0.031550|  2.67835|          0.60322|          0.49233|  4.58088|          1.03170|          0.84205|
|ACT-CL J0110.3-4445|01 10 18.89|-44 45 33.5| 8.50082|7.6661e-05|9.0181e-06|0.377621|      0.009559|  3.20343|          0.63066|          0.52692|  5.78705|          1.13929|          0.95189|
|ACT-CL J2249.6-4443|22 49 36.95|-44 43 15.0| 5.43006|1.5472e-04|2.8493e-05|0.629023|      0.013953|  1.98377|          0.44177|          0.36131|  3.40844|          0.75903|          0.62079|
|ACT-CL J0204.5-4440|02 04 32.96|-44 40 53.5| 4.83143|4.7695e-05|9.8719e-06|0.415293|      0.010774|  2.01682|          0.47301|          0.38315|  3.57545|          0.83857|          0.67926|
|ACT-CL J0449.9-4440|04 49 57.12|-44 40 27.3| 6.26533|8.3428e-05|1.3316e-05|0.155171|      0.004217|  3.02966|          0.79125|          0.62740|  5.87530|          1.53444|          1.21668|
|ACT-CL J0003.0-4439|00 03 04.25|-44 39 56.2| 6.27445|4.9851e-05|7.9450e-06|0.719832|      0.014234|  2.20264|          0.42638|          0.35723|  3.76640|          0.72909|          0.61084|
|ACT-CL J0214.1-4437|02 14 07.60|-44 37 48.2| 4.27805|3.4180e-05|7.9897e-06|0.298530|      0.007129|  1.69439|          0.45137|          0.35642|  3.07819|          0.82000|          0.64751|
|ACT-CL J0313.5-4436|03 13 34.40|-44 36 18.3| 4.56800|8.0571e-05|1.7638e-05|0.422967|      0.012428|  1.86457|          0.44843|          0.36149|  3.29474|          0.79238|          0.63876|
|ACT-CL J2302.3-4435|23 02 22.38|-44 35 28.2| 8.67467|8.1776e-05|9.4270e-06|0.479078|      0.007424|  3.25905|          0.61484|          0.51726|  5.77195|          1.08892|          0.91609|
|ACT-CL J0346.8-4435|03 46 49.45|-44 35 24.2| 5.20976|9.4324e-05|1.8105e-05|0.829452|      0.011031|  2.11933|          0.43476|          0.36075|  3.60382|          0.73928|          0.61344|
|ACT-CL J2242.0-4435|22 42 03.22|-44 35 13.4| 6.41713|8.3483e-05|1.3009e-05|0.708314|      0.014493|  2.44229|          0.46676|          0.39187|  4.18840|          0.80046|          0.67203|
|ACT-CL J0113.4-4434|01 13 25.45|-44 34 59.6| 5.09231|1.5337e-04|3.0119e-05|0.756901|      0.019778|  1.94723|          0.43363|          0.35465|  3.31437|          0.73808|          0.60365|
