Results from heasarc_actszclust: Atacama Cosmology Telescope DR5 Sunyaev-Zeldovich Cluster Catalog
Coordinate system: Equatorial
|name               |ra         |dec        |snr     |y_c       |y_c_error |redshift|redshift_error|mass_500c|mass_500c_pos_err|mass_500c_neg_err|mass_200m|mass_200m_pos_err|mass_200m_neg_err|
|ACT-CL J2050.3-5830|20 50 20.00|-58 31 00.0| 4.10593|4.5100e-05|1.0984e-05|0.421829|      0.010554|  2.17851|          0.55951|          0.44518|  3.86364|          0.99231|          0.78953|
|ACT-CL J0205.7-5829|02 05 45.72|-58 29 03.3| 9.57045|2.5242e-04|2.6375e-05|1.322000|      0.000000|  3.05480|          0.48497|          0.41853|  5.29837|          0.84115|          0.72591|
|ACT-CL J0647.9-5828|06 47 56.16|-58 28 31.0| 8.09636|9.7127e-05|1.1996e-05|0.441100|      0.036640|  3.69415|          0.71207|          0.59700|  6.60671|          1.27348|          1.06768|
|ACT-CL J2228.8-5828|22 28 52.71|-58 28 24.7| 5.72212|6.1314e-05|1.0715e-05|0.760539|      0.012516|  2.72111|          0.54019|          0.45072|  4.66367|          0.92583|          0.77248|
|ACT-CL J0218.5-5826|02 18 33.00|-58 26 30.0| 4.10048|6.5103e-05|1.5877e-05|0.574210|      0.008079|  1.97559|          0.48019|          0.38630|  3.41385|          0.82978|          0.66753|
|ACT-CL J2051.7-5824|20 51 42.99|-58 25 00.0| 4.08382|5.3171e-05|1.3020e-05|0.881246|      0.018884|  2.15316|          0.49403|          0.40183|  3.65870|          0.83947|          0.68280|
|ACT-CL J2243.8-5820|22 43 54.00|-58 21 00.0| 4.12103|6.0521e-05|1.4686e-05|1.026627|      0.078256|  1.99061|          0.44832|          0.36591|  3.37839|          0.76088|          0.62101|
|ACT-CL J0157.2-5820|01 57 14.83|-58 20 55.8| 5.70340|5.4801e-05|9.6084e-06|0.219109|      0.004096|  2.37104|          0.58241|          0.46756|  4.45465|          1.09421|          0.87844|
|ACT-CL J0233.0-5819|02 33 00.24|-58 19 41.7| 7.74145|1.4099e-04|1.8212e-05|0.663700|      0.000000|  3.41998|          0.62566|          0.52890|  5.92776|          1.08443|          0.91673|
|ACT-CL J2220.0-5816|22 20 04.00|-58 16 30.0| 4.54279|1.1082e-04|2.4394e-05|0.274121|      0.006115|  2.18602|          0.57092|          0.45269|  4.02409|          1.05097|          0.83333|
|ACT-CL J0524.8-5814|05 24 48.44|-58 14 13.2| 5.01112|4.2346e-05|8.4504e-06|0.285200|      0.017993|  1.97967|          0.52047|          0.41212|  3.62351|          0.95264|          0.75433|
|ACT-CL J0234.9-5810|02 34 58.23|-58 10 27.9| 4.90674|6.0029e-05|1.2234e-05|0.668187|      0.013483|  2.43055|          0.52494|          0.43170|  4.17992|          0.90276|          0.74241|
|ACT-CL J2206.5-5807|22 06 35.93|-58 07 37.8| 6.20421|1.9506e-04|3.1439e-05|0.587795|      0.007527|  3.06111|          0.61528|          0.51230|  5.33194|          1.07170|          0.89235|
|ACT-CL J0619.7-5802|06 19 42.24|-58 02 20.0| 5.24154|7.7024e-05|1.4695e-05|0.391274|      0.023865|  2.55408|          0.57954|          0.47236|  4.57541|          1.03820|          0.84619|
|ACT-CL J0106.6-5759|01 06 37.00|-58 00 00.0| 4.05422|3.9461e-05|9.7333e-06|0.284127|      0.006058|  1.80147|          0.50199|          0.39259|  3.29115|          0.91710|          0.71724|
|ACT-CL J0516.9-5754|05 16 58.41|-57 54 39.0| 4.47152|3.7560e-05|8.3998e-06|0.924359|      0.018302|  1.94455|          0.44617|          0.36290|  3.29604|          0.75626|          0.61512|
|ACT-CL J0342.2-5752|03 42 16.44|-57 52 18.0| 4.50293|1.5558e-04|3.4550e-05|0.917600|      0.026846|  1.99885|          0.43840|          0.35955|  3.39011|          0.74355|          0.60980|
|ACT-CL J2154.0-5751|21 54 05.73|-57 51 37.4| 5.70104|5.9031e-05|1.0354e-05|0.075900|      0.000000|  2.62179|          0.91067|          0.67590|  5.26216|          1.82780|          1.35659|
|ACT-CL J0411.3-5751|04 11 22.02|-57 51 35.6| 5.41826|5.4653e-05|1.0087e-05|0.809135|      0.010144|  2.41221|          0.49084|          0.40785|  4.11556|          0.83744|          0.69585|
|ACT-CL J0544.4-5750|05 44 29.43|-57 50 17.3| 4.46667|5.8873e-05|1.3181e-05|0.407093|      0.013644|  2.08172|          0.50599|          0.40705|  3.69937|          0.89918|          0.72336|
|ACT-CL J0000.9-5748|00 00 58.97|-57 48 34.3| 6.34743|7.3409e-05|1.1565e-05|0.701900|      0.000000|  2.96772|          0.57205|          0.47960|  5.11315|          0.98559|          0.82631|
|ACT-CL J0517.4-5747|05 17 29.00|-57 47 30.0| 4.10852|1.5183e-04|3.6955e-05|0.843341|      0.013338|  1.91005|          0.45610|          0.36818|  3.23981|          0.77364|          0.62451|
|ACT-CL J2337.5-5747|23 37 31.60|-57 47 11.8| 4.19180|5.0179e-05|1.1971e-05|0.683699|      0.017429|  2.12079|          0.49740|          0.40290|  3.63233|          0.85191|          0.69006|
|ACT-CL J0615.8-5746|06 15 50.89|-57 46 36.8|27.49465|8.4282e-04|3.0654e-05|0.971800|      0.000000|  7.96585|          1.23291|          1.06766| 13.93738|          2.15715|          1.86803|
|ACT-CL J0555.7-5745|05 55 45.04|-57 45 15.1| 4.88570|8.7810e-05|1.7973e-05|0.740397|      0.022801|  2.34830|          0.50324|          0.41443|  4.01617|          0.86067|          0.70878|
|ACT-CL J0653.3-5745|06 53 18.19|-57 45 08.0| 8.59091|1.7443e-04|2.0304e-05|0.240000|      0.034310|  3.93032|          0.84227|          0.69363|  7.42415|          1.59101|          1.31022|
|ACT-CL J0539.9-5744|05 39 58.85|-57 44 26.0| 7.18979|2.0641e-04|2.8709e-05|0.761400|      0.000000|  3.04640|          0.56476|          0.47644|  5.23378|          0.97028|          0.81853|
|ACT-CL J0412.0-5743|04 12 04.63|-57 43 48.4| 4.95368|4.3137e-05|8.7081e-06|0.326794|      0.008761|  2.03076|          0.51630|          0.41164|  3.67587|          0.93455|          0.74512|
|ACT-CL J0454.1-5740|04 54 07.80|-57 40 17.1| 5.63217|1.0147e-04|1.8016e-05|1.121600|      0.029702|  2.39896|          0.45651|          0.38353|  4.09789|          0.77981|          0.65514|
|ACT-CL J0336.2-5740|03 36 14.38|-57 40 03.5| 4.84354|4.8256e-05|9.9629e-06|0.525358|      0.007213|  2.25171|          0.51093|          0.41644|  3.92674|          0.89101|          0.72622|
|ACT-CL J2331.7-5737|23 31 43.29|-57 37 04.3| 4.30613|3.9182e-05|9.0991e-06|0.294157|      0.006152|  1.66089|          0.50118|          0.38500|  3.01976|          0.91122|          0.69999|
|ACT-CL J2146.8-5736|21 46 48.20|-57 36 49.4| 7.36496|3.2539e-04|4.4181e-05|0.602500|      0.000000|  3.54465|          0.67453|          0.56669|  6.18448|          1.17688|          0.98873|
|ACT-CL J0054.9-5731|00 54 54.74|-57 31 52.3| 4.48201|5.4080e-05|1.2066e-05|0.786020|      0.012275|  2.23318|          0.49355|          0.40422|  3.80710|          0.84140|          0.68910|
|ACT-CL J0341.5-5731|03 41 33.10|-57 31 21.4| 5.82441|7.5487e-05|1.2960e-05|0.683256|      0.013645|  2.58950|          0.51620|          0.43040|  4.45418|          0.88792|          0.74033|
|ACT-CL J0434.5-5726|04 34 32.06|-57 26 44.7| 6.60312|1.8683e-04|2.8294e-05|0.480205|      0.008122|  2.90105|          0.59031|          0.49050|  5.12329|          1.04249|          0.86623|
|ACT-CL J2135.6-5726|21 35 40.61|-57 26 19.0| 8.68654|1.4206e-04|1.6354e-05|0.427000|      0.000000|  4.16434|          0.79587|          0.66817|  7.48963|          1.43138|          1.20171|
|ACT-CL J2040.2-5725|20 40 12.98|-57 25 30.0| 4.68635|2.1370e-04|4.5600e-05|0.930000|      0.000000|  2.39896|          0.51410|          0.42337|  4.08413|          0.87523|          0.72077|
|ACT-CL J2341.4-5725|23 41 24.42|-57 25 06.9| 7.77325|7.9882e-05|1.0277e-05|1.259000|      0.000000|  2.90505|          0.48913|          0.41864|  5.01431|          0.84426|          0.72260|
|ACT-CL J2011.4-5724|20 11 29.01|-57 24 30.0| 4.47694|2.0855e-04|4.6583e-05|0.278600|      0.000000|  2.24397|          0.60561|          0.47690|  4.12766|          1.11398|          0.87723|
|ACT-CL J0622.1-5721|06 22 07.00|-57 21 30.0| 4.05614|5.2028e-05|1.2827e-05|0.425111|      0.011631|  2.12517|          0.54398|          0.43311|  3.76450|          0.96360|          0.76721|
