source_number;name;ra;dec;snr;ir_contam_flag;nn_quality_flag;y5r500;y5r500_error;validation_status;redshift;redshift_source_name;mass_sz;mass_sz_pos_err;cosmology_sample_flag
 559;PSZ2 G114.90-34.35;5,3526;28,0504; 4.77789;0;0,920248;0,00280627;0,00166758; 21; 0.094800;RXC J0021.5+2803; 2.472321;0,309347;0
 560;PSZ2 G114.98+19.10;328,8992;79,1533; 5.35338;0;0,030487;0,00157818;0,000768553; -1;;;;;0
 561;PSZ2 G114.99+70.36;196,7286;46,5257;10,04299;0;0,972613;0,00292824;0,000560376; 20; 0.225900;RXC J1306.9+4633; 5.702224;0,349741;1
 562;PSZ2 G115.25-72.07;10,4719;-9,3464;22,75964;0;0,996802;0,0307827;0,00261536; 21; 0.055500;RXCJ0041.8-0918; 4.918354;0,127318;1
 563;PSZ2 G115.34-54.89;8,4668;7,7219; 4.69961;0;0,744669;0,000829912;0,000189943; -1;;;;;0
 564;PSZ2 G115.58-44.56;7,362;17,9947; 6.84713;0;0,052689;0,00572954;0,00179981; 10; 0.170000;; 4.316092;0,370985;1
 565;PSZ2 G115.65+41.66;213,3063;74,292; 4.71381;0;0,95266;0,00139697;0,000751632; 30; 0.219500;NSC J141240+741755; 2.894835;0,374936;0
 566;PSZ2 G115.67-27.57;5,0172;34,8529; 4.54319;0;0,875574;0,0020098;0,000832265; 24; 0.457297;RMJ002008.5+345118.2; 5.312188;0,719358;0
 567;PSZ2 G115.72+44.03;209,9422;72,1212; 7.11094;0;0,99955;0,00163169;0,000484341; 21; 0.214300;RXC J1400.2+7207; 3.778043;0,323546;1
 568;PSZ2 G116.05+20.00;329,9461;80,4907; 5.16232;0;0,993835;0,014643;0,00471717; -1;;;;;0
 569;PSZ2 G116.24-72.94;10,8722;-10,1753; 5.02964;0;0,985227;0,000870187;0,000194201; 24; 0.501893;RMJ004330.7-101009.1; 5.874784;0,706355;0
 570;PSZ2 G116.32-36.33;6,9294;26,2373; 5.28458;0;0,849202;0,00513348;0,00287763; 21; 0.366800;RXC J0027.8+2616; 5.309893;0,680943;0
 571;PSZ2 G116.50-44.47;8,0345;18,1536; 7.71289;0;0,940993;0,0020492;0,0007265; 24; 0.395647;RMJ003208.2+180625.3; 7.608656;0,567284;1
 572;PSZ2 G116.79-09.85;2,8908;52,5405; 5.24055;0;0,995542;0,00430955;0,0012886; 20; 0.104000;ZwCl 0008.8+5215; 3.357418;0,319482;0
 573;PSZ2 G116.95-53.55;9,2672;9,1536; 8.40089;0;0,952787;0,00215717;0,000524913; 20; 0.254600;RXC J0037.0+0909; 6.433114;0,455544;1
 574;PSZ2 G117.11+11.48;352,4867;73,4334; 5.13799;0;0,027842;0,00517693;0,00194844; -1;;;;;0
 575;PSZ2 G117.38-52.47;9,4267;10,2485; 5.45834;0;0,491441;0,00248006;0,000899697; -1;;;;;0
 576;PSZ2 G117.98-55.88;10,0671;6,8795; 6.45055;0;0,877735;0,0127721;0,00442522; 21; 0.039500;A76; 1.668487;0,175442;1
